date,B02,B03,B04,B08
2021-05-03,0.0001,0.0001,0.0127,0.0331
2021-05-08,0.0001,0.0001,0.0045,0.0277
2021-05-18,0.0001,0.0001,0.0023,0.0201
2021-05-23,0.0001,0.0001,0.0001,0.0125
2021-05-28,0.0001,0.0001,0.0001,0.0063
2021-06-02,0.0001,0.0001,0.0001,0.0001
2021-06-07,0.0001,0.0001,0.0001,0.0001
2021-06-12,0.0001,0.0001,0.0001,0.0001
2021-06-17,0.0001,0.0001,0.0001,0.0001
2021-06-22,0.0001,0.0001,0.0001,0.0001
2021-07-07,0.0001,0.0001,0.0001,0.0001
2021-07-17,0.0001,0.0001,0.0001,0.0001
2021-07-22,0.0001,0.0001,0.0001,0.0001
2021-07-27,0.0001,0.0001,0.0001,0.0001
2021-08-01,0.0001,0.0001,0.0001,0.0001
2021-08-06,0.0306,0.055,0.0769,0.1064
2021-08-11,0.02043333333333333,0.037866666666666667,0.057999999999999996,0.08766666666666667
2021-08-16,0.010266666666666667,0.020733333333333333,0.039099999999999996,0.06893333333333333
2021-08-21,0.0001,0.0036,0.0202,0.0502
2021-08-26,0.0001,0.0104,0.0305,0.064
2021-08-31,0.0084,0.0187,0.0385,0.0727
2021-09-05,0.0037,0.0301,0.0568,0.0936
2021-09-10,0.0401,0.0518,0.0662,0.1059
2021-09-15,0.0391,0.0591,0.0809,0.1198
2021-09-20,0.0345,0.0479,0.0739,0.1157
2021-09-25,0.0381,0.0527,0.0807,0.1225
2021-09-30,0.0417,0.0575,0.0875,0.1293
2021-10-05,0.0546,0.0743,0.099,0.1431
2021-10-10,0.0482,0.0689,0.0969,0.146
2021-10-15,0.0529,0.0741,0.11,0.1565
2021-10-20,0.0548,0.0796,0.11325,0.15955
2021-10-25,0.0567,0.0851,0.1165,0.1626
2021-10-30,0.0676,0.0847,0.121,0.1648
2021-11-04,0.0698,0.0898,0.1274,0.1754
2021-11-09,0.0645,0.0879,0.12685000000000002,0.1755
2021-11-14,0.0592,0.086,0.1263,0.1756
2021-11-19,0.0737,0.0914,0.1298,0.175
2021-11-24,0.0642,0.0925,0.1302,0.1765
2021-11-29,0.0647,0.0917,0.13325,0.17945
2021-12-04,0.0652,0.0909,0.1363,0.1824
2021-12-09,0.06409999999999999,0.09209999999999999,0.13445000000000001,0.18109999999999998
2021-12-14,0.063,0.0933,0.1326,0.1798
2021-12-19,0.06770000000000001,0.09565,0.1349,0.17654999999999998
2021-12-24,0.0724,0.098,0.1372,0.1733
2021-12-29,0.06675,0.09335,0.13169999999999998,0.17235
2022-01-03,0.0611,0.0887,0.1262,0.1714
2022-01-08,0.0751,0.0922,0.1268,0.1662
2022-01-13,0.08,0.1037,0.1415,0.1715
2022-01-18,0.0675,0.0885,0.1268,0.1657
2022-01-23,0.0574,0.0853,0.1229,0.1628
2022-01-28,0.0792,0.0939,0.1279,0.1659
2022-02-02,0.07136666666666668,0.08923333333333333,0.12343333333333334,0.16116666666666665
2022-02-07,0.06353333333333333,0.08456666666666666,0.11896666666666668,0.15643333333333334
2022-02-12,0.0557,0.0799,0.1145,0.1517
2022-02-17,0.05495,0.07819999999999999,0.11135,0.14700000000000002
2022-02-22,0.0542,0.0765,0.1082,0.1423
2022-02-27,0.0662,0.0821,0.1087,0.1454
2022-03-04,0.0561,0.0767,0.1049,0.138
2022-03-09,0.0655,0.0774,0.1044,0.1392
2022-03-14,0.05946666666666667,0.07363333333333333,0.09860000000000001,0.13256666666666667
2022-03-19,0.05343333333333333,0.06986666666666667,0.0928,0.12593333333333334
2022-03-24,0.0474,0.0661,0.087,0.1193
2022-03-29,0.0551,0.0649,0.0838,0.1177
2022-04-03,0.033,0.0495,0.0734,0.1058
2022-04-08,0.0542,0.0632,0.0797,0.1054
2022-04-13,0.0387,0.0578,0.0732,0.1007
2022-04-18,0.038849999999999996,0.054099999999999995,0.06815,0.0892
2022-04-23,0.039,0.0504,0.0631,0.0777
2022-04-28,0.0449,0.044,0.0534,0.0682
