date,B02,B03,B04,B08
2021-05-03,0.27480000000000004,0.30365,0.3398,0.33035000000000003
2021-05-08,0.2615,0.2947,0.3074,0.3252
2021-05-18,0.27505,0.28265,0.30585,0.3173
2021-05-23,0.2886,0.2706,0.3043,0.3094
2021-05-28,0.23645,0.2385,0.27415,0.28145
2021-06-02,0.1843,0.2064,0.244,0.2535
2021-06-07,0.2177,0.256,0.3097,0.2965
2021-06-12,0.253125,0.27975,0.3231,0.311125
2021-06-17,0.28855,0.3035,0.3365,0.32575
2021-06-22,0.323975,0.32725,0.3499,0.340375
2021-07-07,0.3594,0.351,0.3633,0.355
2021-07-17,0.2158,0.2993,0.2726,0.3337
2021-07-22,0.3036,0.305,0.3392,0.3473
2021-07-27,0.339,0.3046,0.3451,0.3903
2021-08-01,0.3417,0.4516,0.4237,0.4146
2021-08-06,0.2838,0.3675333333333333,0.36433333333333334,0.3712666666666667
2021-08-11,0.2259,0.28346666666666664,0.30496666666666666,0.32793333333333335
2021-08-16,0.168,0.1994,0.2456,0.2846
2021-08-21,0.2656,0.3009,0.3086,0.3427
2021-08-26,0.2279,0.2524,0.3275,0.2909
2021-08-31,0.18,0.2262,0.26,0.311
2021-09-05,0.2792,0.2672,0.2715,0.3002
2021-09-10,0.25265,0.2449,0.25625,0.29055
2021-09-15,0.2261,0.2226,0.241,0.2809
2021-09-20,0.1763,0.2385,0.2699,0.2876
2021-09-25,0.1776,0.2324,0.2629,0.2907
2021-09-30,0.1789,0.2263,0.2559,0.2938
2021-10-05,0.1727,0.2112,0.248,0.2782
2021-10-10,0.1996,0.2451,0.278,0.2997
2021-10-15,0.1847,0.2364,0.2642,0.2901
2021-10-20,0.1877,0.2363,0.26475,0.29385
2021-10-25,0.1907,0.2362,0.2653,0.2976
2021-10-30,0.1935,0.2326,0.2645,0.2911
2021-11-04,0.1989,0.2528,0.2674,0.2964
2021-11-09,0.19569999999999999,0.24745,0.26675000000000004,0.29555
2021-11-14,0.1925,0.2421,0.2661,0.2947
2021-11-19,0.1946,0.2325,0.257,0.288
2021-11-24,0.19696666666666665,0.23143333333333335,0.2608666666666667,0.29216666666666663
2021-11-29,0.19933333333333333,0.23036666666666666,0.2647333333333333,0.29633333333333334
2021-12-04,0.2017,0.2293,0.2686,0.3005
2021-12-09,0.20115,0.23595,0.26844999999999997,0.29810000000000003
2021-12-14,0.2006,0.2426,0.2683,0.2957
2021-12-19,0.19215,0.2305,0.2627,0.28325
2021-12-24,0.1837,0.2184,0.2571,0.2708
2021-12-29,0.18530000000000002,0.22455,0.25645,0.27685
2022-01-03,0.1869,0.2307,0.2558,0.2829
2022-01-08,0.18896666666666667,0.2296,0.2586,0.28359999999999996
2022-01-13,0.19103333333333333,0.22849999999999998,0.2614,0.2843
2022-01-18,0.1931,0.2274,0.2642,0.285
2022-01-23,0.2015,0.2369,0.2698,0.2937
2022-01-28,0.1754,0.2147,0.2466,0.2716
2022-02-02,0.17713333333333334,0.21743333333333334,0.2469,0.27253333333333335
2022-02-07,0.17886666666666667,0.22016666666666665,0.2472,0.27346666666666664
2022-02-12,0.1806,0.2229,0.2475,0.2744
2022-02-17,0.183,0.2168,0.24985,0.2764
2022-02-22,0.1854,0.2107,0.2522,0.2784
2022-02-27,0.1866,0.2116,0.2528,0.2804
2022-03-04,0.17609999999999998,0.21105000000000002,0.24435,0.27754999999999996
2022-03-09,0.1656,0.2105,0.2359,0.2747
2022-03-14,0.16775,0.20655,0.2407,0.27295
2022-03-19,0.1699,0.2026,0.2455,0.2712
2022-03-24,0.1617,0.2008,0.2264,0.2601
2022-03-29,0.161,0.1929,0.2313,0.258
2022-04-03,0.1638,0.2038,0.2291,0.2611
2022-04-08,0.1653,0.1861,0.2212,0.253
2022-04-13,0.1484,0.1815,0.2154,0.2561
2022-04-18,0.15405000000000002,0.1824,0.22115,0.2535
2022-04-23,0.1597,0.1833,0.2269,0.2509
2022-04-28,0.1604,0.1892,0.2233,0.2586
