date,B02,B03,B04,B08
2021-05-03,0.016,0.0539,0.0365,0.3848
2021-05-08,0.0134,0.0549,0.0382,0.3884
2021-05-18,0.01125,0.051199999999999996,0.03805,0.38325
2021-05-23,0.0091,0.0475,0.0379,0.3781
2021-05-28,0.0178,0.0556,0.0466,0.3599
2021-06-02,0.0132,0.0564,0.048,0.3405
2021-06-07,0.0051,0.0547,0.0557,0.3298
2021-06-12,0.01355,0.061725,0.069425,0.3115
2021-06-17,0.022,0.06875,0.08315,0.2932
2021-06-22,0.030449999999999998,0.075775,0.096875,0.2749
2021-07-07,0.0389,0.0828,0.1106,0.2566
2021-07-17,0.038,0.0778,0.1069,0.2536
2021-07-22,0.049,0.0841,0.1058,0.2409
2021-07-27,0.0427,0.0778,0.1067,0.2208
2021-08-01,0.0497,0.0773,0.1181,0.2164
2021-08-06,0.0516,0.0812,0.1251,0.2151
2021-08-11,0.0535,0.0851,0.1321,0.2138
2021-08-16,0.0554,0.089,0.1391,0.2125
2021-08-21,0.0537,0.0855,0.1365,0.2058
2021-08-26,0.0545,0.0861,0.14,0.2255
2021-08-31,0.0589,0.0892,0.1395,0.2206
2021-09-05,0.0633,0.0909,0.1452,0.225
2021-09-10,0.06675,0.09484999999999999,0.14529999999999998,0.22095
2021-09-15,0.0702,0.0988,0.1454,0.2169
2021-09-20,0.0634,0.091,0.1429,0.228
2021-09-25,0.06735,0.0959,0.14915,0.2339
2021-09-30,0.0713,0.1008,0.1554,0.2398
2021-10-05,0.07195,0.1022,0.15715,0.24105
2021-10-10,0.0726,0.1036,0.1589,0.2423
2021-10-15,0.0781,0.1104,0.1638,0.25
2021-10-20,0.08135,0.114075,0.1681,0.2535
2021-10-25,0.08460000000000001,0.11775,0.1724,0.257
2021-10-30,0.08785,0.12142499999999999,0.1767,0.2605
2021-11-04,0.0911,0.1251,0.181,0.264
2021-11-09,0.0921,0.12745,0.1848,0.26975000000000005
2021-11-14,0.0931,0.1298,0.1886,0.2755
2021-11-19,0.08887500000000001,0.125475,0.183775,0.2672
2021-11-24,0.08465,0.12115000000000001,0.17895,0.2589
2021-11-29,0.080425,0.116825,0.174125,0.2506
2021-12-04,0.0762,0.1125,0.1693,0.2423
2021-12-09,0.07965,0.11549999999999999,0.1725,0.24130000000000001
2021-12-14,0.0831,0.1185,0.1757,0.2403
2021-12-19,0.08224999999999999,0.11699999999999999,0.17504999999999998,0.23815
2021-12-24,0.0814,0.1155,0.1744,0.236
2021-12-29,0.0829,0.1183,0.17704999999999999,0.24185
2022-01-03,0.0844,0.1211,0.1797,0.2477
2022-01-08,0.0848,0.11993333333333334,0.17776666666666666,0.245
2022-01-13,0.0852,0.11876666666666666,0.17583333333333334,0.24230000000000002
2022-01-18,0.0856,0.1176,0.1739,0.2396
2022-01-23,0.081,0.1178,0.1765,0.2448
2022-01-28,0.080025,0.116125,0.1739,0.2407
2022-02-02,0.07905000000000001,0.11445,0.1713,0.23659999999999998
2022-02-07,0.078075,0.112775,0.1687,0.23249999999999998
2022-02-12,0.0771,0.1111,0.1661,0.2284
2022-02-17,0.06805,0.09784999999999999,0.1473,0.203
2022-02-22,0.059,0.0846,0.1285,0.1776
2022-02-27,0.0673,0.0893,0.1326,0.1779
2022-03-04,0.06625,0.08875,0.1338,0.179
2022-03-09,0.0652,0.0882,0.135,0.1801
2022-03-14,0.06283333333333332,0.08806666666666667,0.13386666666666666,0.17906666666666668
2022-03-19,0.06046666666666666,0.08793333333333334,0.13273333333333334,0.17803333333333332
2022-03-24,0.0581,0.0878,0.1316,0.177
2022-03-29,0.0632,0.0858,0.1256,0.1727
2022-04-03,0.0532,0.0816,0.1236,0.1705
2022-04-08,0.0655,0.0857,0.1227,0.1776
2022-04-13,0.0544,0.0796,0.1135,0.1863
2022-04-18,0.0534,0.07825,0.1064,0.19605
2022-04-23,0.0524,0.0769,0.0993,0.2058
2022-04-28,0.0492,0.0675,0.0893,0.2417
