date,B02,B03,B04,B08
2021-05-03,0.01055,0.04045,0.060475,0.1636
2021-05-08,0.0078,0.0382,0.05785,0.1653
2021-05-18,0.005049999999999999,0.03595,0.055225,0.16699999999999998
2021-05-23,0.0023,0.0337,0.0526,0.1687
2021-05-28,0.00665,0.03635,0.055650000000000005,0.16504999999999997
2021-06-02,0.011,0.039,0.0587,0.1614
2021-06-07,0.0001,0.0352,0.0618,0.17
2021-06-12,0.0063750000000000005,0.041375,0.0715,0.174625
2021-06-17,0.01265,0.04755,0.0812,0.17925000000000002
2021-06-22,0.018925,0.053725,0.0909,0.183875
2021-07-07,0.0252,0.0599,0.1006,0.1885
2021-07-17,0.0338,0.0615,0.1063,0.1967
2021-07-22,0.04,0.0656,0.1071,0.1959
2021-07-27,0.0353,0.0695,0.1046,0.2004
2021-08-01,0.0439,0.0677,0.1091,0.1972
2021-08-06,0.04493333333333333,0.07126666666666666,0.11206666666666666,0.19656666666666667
2021-08-11,0.04596666666666667,0.07483333333333334,0.11503333333333333,0.19593333333333332
2021-08-16,0.047,0.0784,0.118,0.1953
2021-08-21,0.0533,0.0774,0.1237,0.1963
2021-08-26,0.0473,0.0772,0.1248,0.1972
2021-08-31,0.0518,0.0817,0.1297,0.2051
2021-09-05,0.0585,0.0877,0.1337,0.2096
2021-09-10,0.06405,0.09235,0.1368,0.2123
2021-09-15,0.0696,0.097,0.1399,0.215
2021-09-20,0.065,0.0925,0.1392,0.2221
2021-09-25,0.0685,0.0947,0.14175,0.22394999999999998
2021-09-30,0.072,0.0969,0.1443,0.2258
2021-10-05,0.07,0.0999,0.1438,0.225
2021-10-10,0.0694,0.0984,0.1398,0.2386
2021-10-15,0.0635,0.0961,0.1359,0.2531
2021-10-20,0.06055,0.09195,0.12545,0.26525
2021-10-25,0.0576,0.0878,0.115,0.2774
2021-10-30,0.0559,0.0862,0.1111,0.2864
2021-11-04,0.0449,0.0814,0.1034,0.3032
2021-11-09,0.0458,0.0809,0.09965,0.31005000000000005
2021-11-14,0.0467,0.0804,0.0959,0.3169
2021-11-19,0.0579,0.083,0.1041,0.3158
2021-11-24,0.054766666666666665,0.08310000000000001,0.10233333333333333,0.31820000000000004
2021-11-29,0.05163333333333334,0.0832,0.10056666666666667,0.3206
2021-12-04,0.0485,0.0833,0.0988,0.323
2021-12-09,0.04775,0.08395,0.10015,0.32025000000000003
2021-12-14,0.047,0.0846,0.1015,0.3175
2021-12-19,0.047549999999999995,0.0823,0.10070000000000001,0.3097
2021-12-24,0.0481,0.08,0.0999,0.3019
2021-12-29,0.04745,0.07885,0.09609999999999999,0.3042
2022-01-03,0.0468,0.0777,0.0923,0.3065
2022-01-08,0.04646666666666667,0.0771,0.09376666666666666,0.3006333333333333
2022-01-13,0.04613333333333333,0.0765,0.09523333333333332,0.2947666666666667
2022-01-18,0.0458,0.0759,0.0967,0.2889
2022-01-23,0.0399,0.0731,0.0964,0.29
2022-01-28,0.0559,0.0786,0.0973,0.2837
2022-02-02,0.05053333333333333,0.07503333333333334,0.09303333333333333,0.2767
2022-02-07,0.04516666666666667,0.07146666666666666,0.08876666666666667,0.2697
2022-02-12,0.0398,0.0679,0.0845,0.2627
2022-02-17,0.040900000000000006,0.06835,0.0854,0.25944999999999996
2022-02-22,0.042,0.0688,0.0863,0.2562
2022-02-27,0.0459,0.0693,0.0882,0.2584
2022-03-04,0.0464,0.06745000000000001,0.08555,0.25470000000000004
2022-03-09,0.0469,0.0656,0.0829,0.251
2022-03-14,0.04665,0.06565,0.08125,0.246
2022-03-19,0.0464,0.0657,0.0796,0.241
2022-03-24,0.036,0.0626,0.0789,0.2368
2022-03-29,0.0431,0.0621,0.0782,0.235
2022-04-03,0.0323,0.0557,0.0779,0.2249
2022-04-08,0.045,0.0643,0.0786,0.2316
2022-04-13,0.0355,0.0612,0.0755,0.2195
2022-04-18,0.03535,0.05955,0.07565,0.22105
2022-04-23,0.0352,0.0579,0.0758,0.2226
2022-04-28,0.0363,0.0592,0.0763,0.2299
