date,B02,B03,B04,B08
2021-05-03,0.0202,0.0552,0.1068,0.2544
2021-05-08,0.0203,0.05513333333333333,0.1148,0.26103333333333334
2021-05-18,0.0204,0.05506666666666667,0.1228,0.26766666666666666
2021-05-23,0.0205,0.055,0.1308,0.2743
2021-05-28,0.0239,0.057249999999999995,0.1363,0.26775
2021-06-02,0.0273,0.0595,0.1418,0.2612
2021-06-07,0.0218,0.0592,0.1435,0.2718
2021-06-12,0.0324,0.062,0.1424,0.2634
2021-06-17,0.0277,0.057433333333333336,0.13506666666666667,0.25306666666666666
2021-06-22,0.023,0.052866666666666666,0.12773333333333334,0.24273333333333333
2021-07-07,0.0183,0.0483,0.1204,0.2324
2021-07-17,0.0325,0.0632,0.1238,0.2345
2021-07-22,0.034,0.0683,0.1336,0.2388
2021-07-27,0.0367,0.0697,0.1362,0.2451
2021-08-01,0.0378,0.0719,0.1326,0.2321
2021-08-06,0.0482,0.0771,0.1334,0.2308
2021-08-11,0.0543,0.0851,0.1451,0.2471
2021-08-16,0.054650000000000004,0.08355,0.1428,0.24075
2021-08-21,0.055,0.082,0.1405,0.2344
2021-08-26,0.0468,0.0801,0.1363,0.2442
2021-08-31,0.0542,0.0849,0.1421,0.2525
2021-09-05,0.0615,0.0895,0.1387,0.2566
2021-09-10,0.0656,0.0887,0.1354,0.2557
2021-09-15,0.0577,0.0896,0.1297,0.2729
2021-09-20,0.0552,0.0865,0.1221,0.2823
2021-09-25,0.04965,0.0803,0.10605,0.30310000000000004
2021-09-30,0.0441,0.0741,0.09,0.3239
2021-10-05,0.0371,0.0767,0.0878,0.3308
2021-10-10,0.0374,0.0691,0.0774,0.3356
2021-10-15,0.0353,0.0729,0.0768,0.356
2021-10-20,0.0343,0.07065,0.07325,0.35814999999999997
2021-10-25,0.0333,0.0684,0.0697,0.3603
2021-10-30,0.037,0.0674,0.0668,0.3669
2021-11-04,0.0404,0.07114999999999999,0.0685,0.38270000000000004
2021-11-09,0.0438,0.0749,0.0702,0.3985
2021-11-14,0.0247,0.0624,0.0612,0.4115
2021-11-19,0.0365,0.0693,0.0607,0.4115
2021-11-24,0.0228,0.0607,0.0487,0.4504
2021-11-29,0.04,0.0689,0.0604,0.4179
2021-12-04,0.0387,0.0748,0.0687,0.3966
2021-12-09,0.0454,0.0755,0.0688,0.3909
2021-12-14,0.034,0.069,0.0617,0.4164
2021-12-19,0.0416,0.0737,0.0681,0.3984
2021-12-24,0.0345,0.0713,0.0657,0.3725
2021-12-29,0.0348,0.07065,0.06575,0.38039999999999996
2022-01-03,0.0351,0.07,0.0658,0.3883
2022-01-08,0.0415,0.074,0.0689,0.3759
2022-01-13,0.0406,0.0757,0.0672,0.3639
2022-01-18,0.0399,0.0742,0.0713,0.3644
2022-01-23,0.0303,0.0725,0.0663,0.3858
2022-01-28,0.0521,0.0843,0.0807,0.3633
2022-02-02,0.0542,0.0872,0.0891,0.36085
2022-02-07,0.0563,0.0901,0.0975,0.3584
2022-02-12,0.0519,0.0894,0.1037,0.3409
2022-02-17,0.0587,0.0898,0.1096,0.3406
2022-02-22,0.0483,0.0856,0.1123,0.3385
2022-02-27,0.0554,0.0883,0.1169,0.3349
2022-03-04,0.0551,0.0871,0.1167,0.327
2022-03-09,0.0552,0.0833,0.1198,0.3219
2022-03-14,0.0514,0.0827,0.12,0.3085
2022-03-19,0.0566,0.081,0.1209,0.303
2022-03-24,0.0494,0.0805,0.1192,0.2981
2022-03-29,0.0528,0.0791,0.1176,0.2972
2022-04-03,0.0476,0.0767,0.1178,0.2892
2022-04-08,0.0525,0.0806,0.1194,0.2903
2022-04-13,0.0494,0.0775,0.1224,0.2783
2022-04-18,0.04945,0.07715,0.12135,0.27090000000000003
2022-04-23,0.0495,0.0768,0.1203,0.2635
2022-04-28,0.0483,0.0772,0.126,0.2741
