date,B02,B03,B04,B08
2021-05-03,0.05133333333333333,0.08246666666666667,0.1172,0.2333333333333333
2021-05-08,0.07406666666666667,0.10233333333333333,0.1399,0.25916666666666666
2021-05-18,0.0968,0.1222,0.1626,0.285
2021-05-23,0.0008,0.0369,0.0717,0.2169
2021-05-28,0.00045000000000000004,0.0366,0.0691,0.2066
2021-06-02,0.0001,0.0363,0.0665,0.1963
2021-06-07,0.0001,0.0229,0.0689,0.2137
2021-06-12,0.0001,0.0024,0.0029,0.1138
2021-06-17,0.0001,0.0035666666666666668,0.013533333333333333,0.135
2021-06-22,0.0001,0.004733333333333333,0.024166666666666666,0.1562
2021-07-07,0.0001,0.0059,0.0348,0.1774
2021-07-17,0.0001,0.0419,0.0658,0.224
2021-07-22,0.0087,0.042866666666666664,0.06846666666666666,0.2073
2021-07-27,0.0173,0.043833333333333335,0.07113333333333334,0.1906
2021-08-01,0.0259,0.0448,0.0738,0.1739
2021-08-06,0.0323,0.0603,0.1003,0.2126
2021-08-11,0.037200000000000004,0.0631,0.1003,0.21380000000000002
2021-08-16,0.0421,0.0659,0.1003,0.215
2021-08-21,0.047,0.0687,0.1003,0.2162
2021-08-26,0.046,0.0791,0.119,0.2143
2021-08-31,0.063,0.0822,0.1218,0.2124
2021-09-05,0.0591,0.0908,0.1252,0.201
2021-09-10,0.0657,0.0896,0.1294,0.2056
2021-09-15,0.0792,0.1061,0.138,0.2066
2021-09-20,0.0853,0.1052,0.14,0.2164
2021-09-25,0.0823,0.108,0.1448,0.2105
2021-09-30,0.0855,0.1061,0.1468,0.2185
2021-10-05,0.0866,0.1059,0.1505,0.2162
2021-10-10,0.0873,0.1058,0.1404,0.2109
2021-10-15,0.0877,0.11,0.1455,0.2157
2021-10-20,0.0953,0.1116,0.1495,0.2177
2021-10-25,0.092,0.1119,0.1507,0.2143
2021-10-30,0.0956,0.1109,0.1507,0.2171
2021-11-04,0.097,0.11349999999999999,0.1533,0.2156
2021-11-09,0.0984,0.1161,0.1559,0.2141
2021-11-14,0.0881,0.1124,0.1553,0.2163
2021-11-19,0.102,0.116,0.1559,0.2177
2021-11-24,0.0958,0.1161,0.1587,0.222
2021-11-29,0.0963,0.1164,0.1551,0.2175
2021-12-04,0.0962,0.1199,0.1576,0.2179
2021-12-09,0.1022,0.1169,0.1564,0.2169
2021-12-14,0.09809999999999999,0.1164,0.15515,0.21785
2021-12-19,0.094,0.1159,0.1539,0.2188
2021-12-24,0.0972,0.118,0.158,0.2091
2021-12-29,0.0953,0.1133,0.1569,0.2194
2022-01-03,0.0943,0.1168,0.1566,0.2078
2022-01-08,0.0959,0.1143,0.158,0.2134
2022-01-13,0.0978,0.1186,0.161,0.2001
2022-01-18,0.09255,0.11465,0.16,0.2069
2022-01-23,0.0873,0.1107,0.159,0.2137
2022-01-28,0.1026,0.1177,0.1581,0.2152
2022-02-02,0.1038,0.11895,0.1588,0.21715
2022-02-07,0.105,0.1202,0.1595,0.2191
2022-02-12,0.096,0.1141,0.1579,0.2134
2022-02-17,0.1047,0.1217,0.1582,0.2225
2022-02-22,0.0948,0.1162,0.1583,0.2172
2022-02-27,0.1044,0.1187,0.1573,0.2184
2022-03-04,0.1043,0.1183,0.15810000000000002,0.21795
2022-03-09,0.1042,0.1179,0.1589,0.2175
2022-03-14,0.1034,0.1189,0.1601,0.2189
2022-03-19,0.1055,0.1192,0.1631,0.2189
2022-03-24,0.0937,0.1148,0.1595,0.2235
2022-03-29,0.1006,0.1152,0.1561,0.2198
2022-04-03,0.0948,0.1116,0.1479,0.212
2022-04-08,0.1031,0.1167,0.1581,0.2172
2022-04-13,0.0963,0.1153,0.1617,0.2236
2022-04-18,0.1004,0.1133,0.1648,0.2302
2022-04-23,0.0926,0.1139,0.1546,0.225
2022-04-28,0.1042,0.1205,0.1622,0.2338
