date,B02,B03,B04,B08
2021-05-03,0.0248,0.0525,0.072,0.2719
2021-05-08,0.020566666666666667,0.0498,0.0691,0.27246666666666663
2021-05-18,0.01633333333333333,0.0471,0.0662,0.27303333333333335
2021-05-23,0.0121,0.0444,0.0633,0.2736
2021-05-28,0.01055,0.04145,0.0598,0.26105
2021-06-02,0.009,0.0385,0.0563,0.2485
2021-06-07,0.0089,0.0397,0.0567,0.2594
2021-06-12,0.0093,0.0367,0.0519,0.2523
2021-06-17,0.006233333333333332,0.0337,0.0476,0.25403333333333333
2021-06-22,0.0031666666666666657,0.0307,0.0433,0.2557666666666667
2021-07-07,0.0001,0.0277,0.039,0.2575
2021-07-17,0.0022,0.0302,0.045,0.2579
2021-07-22,0.0068,0.0343,0.0453,0.2613
2021-07-27,0.0091,0.036,0.0484,0.2595
2021-08-01,0.0124,0.0367,0.0527,0.2557
2021-08-06,0.0195,0.0449,0.0565,0.2468
2021-08-11,0.0235,0.0426,0.0546,0.2618
2021-08-16,0.0219,0.0426,0.05455,0.25345
2021-08-21,0.0203,0.0426,0.0545,0.2451
2021-08-26,0.019,0.0428,0.0588,0.2544
2021-08-31,0.025,0.0474,0.0607,0.2526
2021-09-05,0.0394,0.0616,0.0753,0.2573
2021-09-10,0.0442,0.0652,0.0744,0.2539
2021-09-15,0.0431,0.068,0.0802,0.2609
2021-09-20,0.0389,0.0645,0.0767,0.2656
2021-09-25,0.03995,0.06815,0.07775,0.2838
2021-09-30,0.041,0.0718,0.0788,0.302
2021-10-05,0.0449,0.08,0.0843,0.3172
2021-10-10,0.0474,0.0833,0.0814,0.3244
2021-10-15,0.0463,0.0845,0.0839,0.3266
2021-10-20,0.0508,0.09145,0.09015000000000001,0.3346
2021-10-25,0.0553,0.0984,0.0964,0.3426
2021-10-30,0.058,0.097,0.0982,0.3363
2021-11-04,0.06365,0.0988,0.10055,0.3375
2021-11-09,0.0693,0.1006,0.1029,0.3387
2021-11-14,0.0506,0.0974,0.0992,0.3514
2021-11-19,0.0635,0.095,0.1027,0.3391
2021-11-24,0.0505,0.0897,0.0974,0.3418
2021-11-29,0.0664,0.0985,0.1025,0.3345
2021-12-04,0.0607,0.1003,0.1071,0.342
2021-12-09,0.0645,0.0965,0.1061,0.3337
2021-12-14,0.0603,0.0969,0.1047,0.3365
2021-12-19,0.0602,0.0916,0.0997,0.342
2021-12-24,0.0574,0.0932,0.0999,0.3193
2021-12-29,0.056749999999999995,0.09240000000000001,0.1004,0.3203
2022-01-03,0.0561,0.0916,0.1009,0.3213
2022-01-08,0.0614,0.091,0.0997,0.316
2022-01-13,0.059,0.0874,0.0985,0.2958
2022-01-18,0.0533,0.0839,0.0958,0.3082
2022-01-23,0.0438,0.0791,0.0921,0.3153
2022-01-28,0.06,0.0833,0.0967,0.305
2022-02-02,0.0622,0.0858,0.0973,0.3033
2022-02-07,0.0644,0.0883,0.0979,0.3016
2022-02-12,0.0535,0.0829,0.0944,0.2937
2022-02-17,0.0647,0.085,0.0957,0.2932
2022-02-22,0.0565,0.0869,0.0972,0.3005
2022-02-27,0.0582,0.0834,0.094,0.2919
2022-03-04,0.0534,0.0803,0.0941,0.2786
2022-03-09,0.0567,0.0801,0.0929,0.2822
2022-03-14,0.0515,0.0791,0.0901,0.2762
2022-03-19,0.0545,0.0791,0.092,0.2858
2022-03-24,0.0515,0.0746,0.0896,0.2812
2022-03-29,0.0532,0.076,0.089,0.2784
2022-04-03,0.0514,0.0772,0.0925,0.2697
2022-04-08,0.0515,0.0761,0.0876,0.2792
2022-04-13,0.0474,0.0727,0.0894,0.2668
2022-04-18,0.0461,0.07035,0.0876,0.2656
2022-04-23,0.0448,0.068,0.0858,0.2644
2022-04-28,0.0445,0.0681,0.0825,0.2682
