date,B02,B03,B04,B08
2021-05-03,0.0026,0.03506666666666666,0.038766666666666665,0.2711
2021-05-08,0.0051,0.038733333333333335,0.04753333333333333,0.2651
2021-05-18,0.0076,0.0424,0.0563,0.2591
2021-05-23,0.0078000000000000005,0.042633333333333336,0.05686666666666667,0.25516666666666665
2021-05-28,0.008,0.042866666666666664,0.057433333333333336,0.2512333333333333
2021-06-02,0.0082,0.0431,0.058,0.2473
2021-06-07,0.0091,0.0418,0.0646,0.259
2021-06-12,0.0001,0.0001,0.068,0.2601
2021-06-17,0.01235,0.024399999999999998,0.07445,0.2621
2021-06-22,0.0246,0.0487,0.0809,0.2641
2021-07-07,0.0139,0.0445,0.0926,0.2708
2021-07-17,0.0161,0.0408,0.0744,0.2193
2021-07-22,0.0238,0.0443,0.0811,0.224
2021-07-27,0.0238,0.0469,0.0872,0.2306
2021-08-01,0.024,0.0435,0.0819,0.2188
2021-08-06,0.0295,0.0629,0.1067,0.2693
2021-08-11,0.032466666666666665,0.06216666666666666,0.10586666666666666,0.2709
2021-08-16,0.03543333333333333,0.06143333333333333,0.10503333333333334,0.2725
2021-08-21,0.0384,0.0607,0.1042,0.2741
2021-08-26,0.0395,0.0631,0.1135,0.2795
2021-08-31,0.0423,0.0696,0.1102,0.2801
2021-09-05,0.0525,0.0756,0.1179,0.2632
2021-09-10,0.0584,0.0794,0.1219,0.2709
2021-09-15,0.0537,0.078,0.1155,0.27
2021-09-20,0.0468,0.0664,0.101,0.2452
2021-09-25,0.0515,0.0782,0.1065,0.2827
2021-09-30,0.0383,0.0668,0.07,0.3226
2021-10-05,0.023,0.0583,0.0511,0.3534
2021-10-10,0.0191,0.0518,0.0395,0.3722
2021-10-15,0.01995,0.0506,0.03335,0.39305
2021-10-20,0.0208,0.0494,0.0272,0.4139
2021-10-25,0.0153,0.0452,0.0285,0.4142
2021-10-30,0.0181,0.0482,0.0305,0.4177
2021-11-04,0.0199,0.049350000000000005,0.0316,0.41465
2021-11-09,0.0217,0.0505,0.0327,0.4116
2021-11-14,0.0056,0.0388,0.0252,0.4158
2021-11-19,0.0233,0.0497,0.0338,0.4047
2021-11-24,0.009,0.0432,0.028,0.41
2021-11-29,0.026,0.0506,0.0371,0.3975
2021-12-04,0.0198,0.0521,0.0377,0.3971
2021-12-09,0.0214,0.051,0.0393,0.3929
2021-12-14,0.02,0.0519,0.0419,0.3855
2021-12-19,0.0162,0.0448,0.0307,0.4174
2021-12-24,0.0194,0.0521,0.0413,0.3725
2021-12-29,0.0273,0.0524,0.0428,0.3728
2022-01-03,0.0218,0.0533,0.0411,0.3671
2022-01-08,0.0215,0.0493,0.0389,0.3662
2022-01-13,0.0246,0.0516,0.0409,0.3427
2022-01-18,0.01625,0.046,0.03495,0.3498
2022-01-23,0.0079,0.0404,0.029,0.3569
2022-01-28,0.0297,0.0541,0.042,0.3489
2022-02-02,0.0202,0.0517,0.0385,0.3331
2022-02-07,0.0276,0.0527,0.0389,0.346
2022-02-12,0.0232,0.0521,0.0409,0.3311
2022-02-17,0.0337,0.0574,0.0442,0.3335
2022-02-22,0.0266,0.0576,0.0458,0.3282
2022-02-27,0.0314,0.0572,0.0473,0.3229
2022-03-04,0.0253,0.0568,0.0469,0.3118
2022-03-09,0.0301,0.0568,0.0466,0.3169
2022-03-14,0.0203,0.0547,0.0447,0.3192
2022-03-19,0.0302,0.0563,0.0455,0.3062
2022-03-24,0.0212,0.0519,0.0469,0.2978
2022-03-29,0.0289,0.0592,0.0537,0.284
2022-04-03,0.0272,0.0641,0.0629,0.2842
2022-04-08,0.0309,0.0556,0.0554,0.2757
2022-04-13,0.0279,0.0583,0.0537,0.2865
2022-04-18,0.0318,0.0583,0.0584,0.2906
2022-04-23,0.0293,0.0662,0.074,0.2738
2022-04-28,0.0386,0.0685,0.0836,0.2696
