date,B02,B03,B04,B08
2021-05-03,0.0302,0.0542,0.078,0.2252
2021-05-08,0.0271,0.056,0.0805,0.2112
2021-05-18,0.01385,0.0416,0.0518,0.25625
2021-05-23,0.0006,0.0272,0.0231,0.3013
2021-05-28,0.0049,0.0416,0.0168,0.3675
2021-06-02,0.0012,0.0353,0.0027,0.4193
2021-06-07,0.0001,0.0354,0.0001,0.4695
2021-06-12,0.0001,0.036500000000000005,0.0016500000000000002,0.49759999999999993
2021-06-17,0.0001,0.0376,0.0032,0.5257
2021-06-22,0.00105,0.0442,0.0121,0.4738
2021-07-07,0.002,0.0508,0.021,0.4219
2021-07-17,0.0028,0.0439,0.0347,0.3126
2021-07-22,0.009,0.049,0.0302,0.3313
2021-07-27,0.0005,0.0424,0.0158,0.3708
2021-08-01,0.0001,0.0391,0.0062,0.4281
2021-08-06,0.0005666666666666667,0.04066666666666667,0.0064333333333333334,0.47346666666666665
2021-08-11,0.0010333333333333334,0.04223333333333333,0.006666666666666666,0.5188333333333334
2021-08-16,0.0015,0.0438,0.0069,0.5642
2021-08-21,0.0001,0.0373,0.0001,0.5881
2021-08-26,0.0001,0.0335,0.0012,0.5775
2021-08-31,0.0003,0.0339,0.0013,0.5742
2021-09-05,0.0063,0.0433,0.0116,0.5393
2021-09-10,0.03415,0.06965,0.0607,0.43510000000000004
2021-09-15,0.062,0.096,0.1098,0.3309
2021-09-20,0.0414,0.0788,0.0909,0.3716
2021-09-25,0.03125,0.06434999999999999,0.06359999999999999,0.4141
2021-09-30,0.0211,0.0499,0.0363,0.4566
2021-10-05,0.0345,0.0678,0.0417,0.4666
2021-10-10,0.0105,0.0452,0.0133,0.5101
2021-10-15,0.0135,0.0507,0.0198,0.5056
2021-10-20,0.01675,0.0516,0.021900000000000003,0.4927
2021-10-25,0.02,0.0525,0.024,0.4798
2021-10-30,0.04715,0.0834,0.08535000000000001,0.39644999999999997
2021-11-04,0.0743,0.1143,0.1467,0.3131
2021-11-09,0.06865,0.1071,0.14279999999999998,0.31335
2021-11-14,0.063,0.0999,0.1389,0.3136
2021-11-19,0.0526,0.0879,0.11324999999999999,0.34357499999999996
2021-11-24,0.0422,0.0759,0.0876,0.37355
2021-11-29,0.0318,0.0639,0.061950000000000005,0.403525
2021-12-04,0.0214,0.0519,0.0363,0.4335
2021-12-09,0.02215,0.055,0.03345,0.45205
2021-12-14,0.0229,0.0581,0.0306,0.4706
2021-12-19,0.05555,0.09440000000000001,0.08349999999999999,0.43855
2021-12-24,0.0882,0.1307,0.1364,0.4065
2021-12-29,0.0726,0.11215,0.11875,0.39005
2022-01-03,0.057,0.0936,0.1011,0.3736
2022-01-08,0.04556666666666667,0.08076666666666667,0.0769,0.41013333333333335
2022-01-13,0.034133333333333335,0.06793333333333333,0.0527,0.44666666666666666
2022-01-18,0.0227,0.0551,0.0285,0.4832
2022-01-23,0.0165,0.045,0.03,0.431
2022-01-28,0.05295,0.0859,0.0975,0.3984
2022-02-02,0.0894,0.1268,0.165,0.3658
2022-02-07,0.07565,0.10835,0.1518,0.30310000000000004
2022-02-12,0.0619,0.0899,0.1386,0.2404
2022-02-17,0.04555,0.07769999999999999,0.0915,0.30545
2022-02-22,0.0292,0.0655,0.0444,0.3705
2022-02-27,0.0369,0.0612,0.0383,0.4118
2022-03-04,0.03215,0.05795,0.0328,0.44065
2022-03-09,0.0274,0.0547,0.0273,0.4695
2022-03-14,0.02945,0.0519,0.027450000000000002,0.4825
2022-03-19,0.0315,0.0491,0.0276,0.4955
2022-03-24,0.0172,0.0405,0.0239,0.4661
2022-03-29,0.0747,0.1073,0.1139,0.3996
2022-04-03,0.0441,0.0803,0.0864,0.296
2022-04-08,0.0469,0.074,0.0645,0.33
2022-04-13,0.0264,0.0646,0.0375,0.3852
2022-04-18,0.025750000000000002,0.062,0.0318,0.4337
2022-04-23,0.0251,0.0594,0.0261,0.4822
2022-04-28,0.0236,0.052,0.0227,0.5295
