date,B02,B03,B04,B08
2021-05-03,0.0146,0.047,0.061,0.3567
2021-05-08,0.0163,0.0624,0.093,0.3789
2021-05-18,0.01755,0.05645,0.113,0.36835
2021-05-23,0.0188,0.0505,0.133,0.3578
2021-05-28,0.0182,0.049100000000000005,0.1366,0.3308
2021-06-02,0.0176,0.0477,0.1402,0.3038
2021-06-07,0.0126,0.0467,0.1428,0.3071
2021-06-12,0.00995,0.043925,0.1335,0.289975
2021-06-17,0.0073,0.04115,0.1242,0.27285
2021-06-22,0.00465,0.038375,0.1149,0.255725
2021-07-07,0.002,0.0356,0.1056,0.2386
2021-07-17,0.0054,0.0348,0.0976,0.2199
2021-07-22,0.0166,0.0378,0.0971,0.2175
2021-07-27,0.0111,0.0354,0.0929,0.2012
2021-08-01,0.0219,0.0486,0.11,0.2255
2021-08-06,0.0532,0.0767,0.1313,0.239
2021-08-11,0.04745,0.07239999999999999,0.12835000000000002,0.24725
2021-08-16,0.0417,0.0681,0.1254,0.2555
2021-08-21,0.0329,0.0527,0.1071,0.2141
2021-08-26,0.0317,0.0594,0.1185,0.2272
2021-08-31,0.0394,0.0657,0.1232,0.2317
2021-09-05,0.0391,0.0645,0.1225,0.2319
2021-09-10,0.0591,0.0798,0.1311,0.2337
2021-09-15,0.0606,0.0839,0.1346,0.2357
2021-09-20,0.0546,0.0774,0.1337,0.2409
2021-09-25,0.05495,0.0791,0.1351,0.24625
2021-09-30,0.0553,0.0808,0.1365,0.2516
2021-10-05,0.0657,0.0917,0.1392,0.2543
2021-10-10,0.0581,0.0858,0.139,0.2737
2021-10-15,0.0589,0.0886,0.1385,0.279
2021-10-20,0.058499999999999996,0.09135,0.13725,0.2876
2021-10-25,0.0581,0.0941,0.136,0.2962
2021-10-30,0.055,0.087,0.1164,0.3009
2021-11-04,0.0377,0.076,0.0974,0.2941
2021-11-09,0.0351,0.0739,0.08795,0.32499999999999996
2021-11-14,0.0325,0.0718,0.0785,0.3559
2021-11-19,0.0354,0.0715,0.0693,0.3723
2021-11-24,0.0236,0.0646,0.0532,0.4149
2021-11-29,0.01965,0.06305,0.045399999999999996,0.433
2021-12-04,0.0157,0.0615,0.0376,0.4511
2021-12-09,0.01515,0.060200000000000004,0.032,0.47845000000000004
2021-12-14,0.0146,0.0589,0.0264,0.5058
2021-12-19,0.0186,0.06135,0.02735,0.5113000000000001
2021-12-24,0.0226,0.0638,0.0283,0.5168
2021-12-29,0.01675,0.0619,0.0235,0.5456000000000001
2022-01-03,0.0109,0.06,0.0187,0.5744
2022-01-08,0.0219,0.061,0.021,0.5865
2022-01-13,0.0248,0.0669,0.0282,0.547
2022-01-18,0.0152,0.0562,0.0193,0.577
2022-01-23,0.0088,0.0508,0.0153,0.5713
2022-01-28,0.0299,0.0617,0.0312,0.5575
2022-02-02,0.025333333333333333,0.05843333333333333,0.029333333333333333,0.5509666666666667
2022-02-07,0.020766666666666666,0.05516666666666667,0.027466666666666667,0.5444333333333333
2022-02-12,0.0162,0.0519,0.0256,0.5379
2022-02-17,0.019450000000000002,0.0531,0.0278,0.5277000000000001
2022-02-22,0.0227,0.0543,0.03,0.5175
2022-02-27,0.0314,0.0584,0.0343,0.495
2022-03-04,0.0314,0.061,0.0363,0.48095
2022-03-09,0.0314,0.0636,0.0383,0.4669
2022-03-14,0.035250000000000004,0.06935,0.0511,0.4522
2022-03-19,0.0391,0.0751,0.0639,0.4375
2022-03-24,0.0289,0.0744,0.067,0.4214
2022-03-29,0.0394,0.0742,0.0772,0.4032
2022-04-03,0.0277,0.0698,0.0816,0.3884
2022-04-08,0.044,0.0744,0.0969,0.3819
2022-04-13,0.0355,0.0745,0.1002,0.3674
2022-04-18,0.03665,0.06914999999999999,0.1002,0.35455000000000003
2022-04-23,0.0378,0.0638,0.1002,0.3417
2022-04-28,0.0402,0.068,0.113,0.3628
