date,B02,B03,B04,B08
2021-05-03,0.0036499999999999996,0.030525,0.069075,0.36475
2021-05-08,0.0060999999999999995,0.03455,0.08715,0.3582
2021-05-18,0.00855,0.038575,0.105225,0.35165
2021-05-23,0.011,0.0426,0.1233,0.3451
2021-05-28,0.0139,0.04405,0.13140000000000002,0.3308
2021-06-02,0.0168,0.0455,0.1395,0.3165
2021-06-07,0.0204,0.0495,0.147,0.3426
2021-06-12,0.029,0.0602,0.1545,0.3348
2021-06-17,0.021433333333333335,0.0549,0.1453,0.31903333333333334
2021-06-22,0.013866666666666668,0.0496,0.1361,0.30326666666666663
2021-07-07,0.0063,0.0443,0.1269,0.2875
2021-07-17,0.0179,0.0494,0.1217,0.2755
2021-07-22,0.0281,0.0543,0.1267,0.2792
2021-07-27,0.0299,0.0598,0.1413,0.3118
2021-08-01,0.0298,0.0559,0.1251,0.2691
2021-08-06,0.0333,0.0584,0.1263,0.2536
2021-08-11,0.029933333333333336,0.054733333333333335,0.12036666666666666,0.24673333333333333
2021-08-16,0.026566666666666666,0.05106666666666666,0.11443333333333333,0.23986666666666667
2021-08-21,0.0232,0.0474,0.1085,0.233
2021-08-26,0.0139,0.0428,0.109,0.2392
2021-08-31,0.0282,0.0521,0.1129,0.2388
2021-09-05,0.0334,0.0621,0.1263,0.24
2021-09-10,0.0342,0.0615,0.1249,0.2363
2021-09-15,0.0479,0.0745,0.1316,0.245
2021-09-20,0.0513,0.0751,0.1292,0.2535
2021-09-25,0.0496,0.0772,0.1289,0.2568
2021-09-30,0.042,0.0703,0.1041,0.2637
2021-10-05,0.0359,0.0713,0.1012,0.2779
2021-10-10,0.0352,0.0642,0.0825,0.281
2021-10-15,0.0271,0.0608,0.0727,0.3092
2021-10-20,0.0416,0.0684,0.0618,0.3563
2021-10-25,0.0234,0.057,0.0473,0.3583
2021-10-30,0.0211,0.0572,0.0364,0.39
2021-11-04,0.0108,0.0518,0.0244,0.4002
2021-11-09,0.026,0.0587,0.0302,0.4412
2021-11-14,0.0079,0.0507,0.0206,0.4691
2021-11-19,0.0221,0.0592,0.0244,0.4912
2021-11-24,0.01,0.0537,0.0171,0.5246
2021-11-29,0.0215,0.0577,0.0225,0.5107
2021-12-04,0.0204,0.0629,0.0257,0.5277
2021-12-09,0.0237,0.0578,0.0222,0.5435
2021-12-14,0.022199999999999998,0.057050000000000003,0.02105,0.5479499999999999
2021-12-19,0.0207,0.0563,0.0199,0.5524
2021-12-24,0.0188,0.0601,0.026,0.5206
2021-12-29,0.0207,0.0559,0.0209,0.5412
2022-01-03,0.0177,0.0558,0.022,0.5256
2022-01-08,0.0235,0.0553,0.024,0.5151
2022-01-13,0.0232,0.0575,0.0274,0.4755
2022-01-18,0.015199999999999998,0.05115,0.02135,0.48395
2022-01-23,0.0072,0.0448,0.0153,0.4924
2022-01-28,0.0292,0.0567,0.0329,0.478
2022-02-02,0.0297,0.0569,0.03295,0.47150000000000003
2022-02-07,0.0302,0.0571,0.033,0.465
2022-02-12,0.0258,0.0568,0.034,0.4455
2022-02-17,0.0342,0.0604,0.0374,0.4477
2022-02-22,0.0259,0.0542,0.034,0.4417
2022-02-27,0.0322,0.0577,0.0392,0.4291
2022-03-04,0.0244,0.0556,0.0383,0.413
2022-03-09,0.0301,0.0573,0.0393,0.4146
2022-03-14,0.0277,0.0572,0.0399,0.4064
2022-03-19,0.0316,0.0585,0.0436,0.414
2022-03-24,0.0255,0.0525,0.0421,0.4089
2022-03-29,0.0299,0.0524,0.0431,0.399
2022-04-03,0.0276,0.053,0.0492,0.3795
2022-04-08,0.0264,0.0509,0.0482,0.382
2022-04-13,0.0254,0.0503,0.0552,0.3587
2022-04-18,0.0274,0.0502,0.0588,0.3645
2022-04-23,0.0248,0.0449,0.0648,0.3344
2022-04-28,0.0283,0.0432,0.0734,0.3445
