date,B02,B03,B04,B08
2021-05-03,0.01525,0.04635,0.064,0.18685000000000002
2021-05-08,0.0129,0.0424,0.0609,0.182
2021-05-18,0.00835,0.03695,0.05335,0.17895
2021-05-23,0.0038,0.0315,0.0458,0.1759
2021-05-28,0.0076,0.0394,0.0557,0.1728
2021-06-02,0.0084,0.0307,0.0458,0.1714
2021-06-07,0.0001,0.024,0.0422,0.1701
2021-06-12,0.0001,0.0162,0.028650000000000002,0.12340000000000001
2021-06-17,0.0001,0.0084,0.0151,0.0767
2021-06-22,0.0001,0.015799999999999998,0.0218,0.11945
2021-07-07,0.0001,0.0232,0.0285,0.1622
2021-07-17,0.0001,0.0293,0.0449,0.182
2021-07-22,0.0125,0.0355,0.0478,0.1726
2021-07-27,0.0042,0.0367,0.0447,0.1697
2021-08-01,0.0158,0.0381,0.0535,0.1664
2021-08-06,0.01796666666666667,0.04203333333333333,0.0576,0.17106666666666667
2021-08-11,0.020133333333333333,0.04596666666666667,0.0617,0.17573333333333332
2021-08-16,0.0223,0.0499,0.0658,0.1804
2021-08-21,0.0216,0.0468,0.0603,0.176
2021-08-26,0.0214,0.0463,0.0659,0.1887
2021-08-31,0.0281,0.0538,0.0697,0.19
2021-09-05,0.0277,0.0583,0.0753,0.1962
2021-09-10,0.03605,0.06355,0.08205000000000001,0.19725
2021-09-15,0.0444,0.0688,0.0888,0.1983
2021-09-20,0.038,0.0648,0.0882,0.2064
2021-09-25,0.03985,0.06709999999999999,0.09245,0.21125
2021-09-30,0.0417,0.0694,0.0967,0.2161
2021-10-05,0.0559,0.0824,0.1074,0.2196
2021-10-10,0.046,0.0726,0.1003,0.2221
2021-10-15,0.049,0.0802,0.1092,0.2262
2021-10-20,0.0527,0.08565,0.1134,0.23010000000000003
2021-10-25,0.0564,0.0911,0.1176,0.234
2021-10-30,0.0653,0.0939,0.1212,0.2421
2021-11-04,0.0615,0.0944,0.1257,0.2425
2021-11-09,0.0605,0.0964,0.12785000000000002,0.24684999999999999
2021-11-14,0.0595,0.0984,0.13,0.2512
2021-11-19,0.060825,0.0994,0.13055,0.25329999999999997
2021-11-24,0.06215,0.1004,0.1311,0.25539999999999996
2021-11-29,0.063475,0.1014,0.13165000000000002,0.2575
2021-12-04,0.0648,0.1024,0.1322,0.2596
2021-12-09,0.06520000000000001,0.1033,0.13090000000000002,0.25815
2021-12-14,0.0656,0.1042,0.1296,0.2567
2021-12-19,0.0656,0.10115,0.12974999999999998,0.2529
2021-12-24,0.0656,0.0981,0.1299,0.2491
2021-12-29,0.06345,0.09765,0.12965,0.25365
2022-01-03,0.0613,0.0972,0.1294,0.2582
2022-01-08,0.06196666666666666,0.09609999999999999,0.12686666666666666,0.2542
2022-01-13,0.06263333333333333,0.095,0.12433333333333334,0.2502
2022-01-18,0.0633,0.0939,0.1218,0.2462
2022-01-23,0.0497,0.0903,0.1211,0.2475
2022-01-28,0.0716,0.0983,0.121,0.2473
2022-02-02,0.06533333333333333,0.09453333333333333,0.1175,0.24256666666666665
2022-02-07,0.05906666666666666,0.09076666666666666,0.114,0.23783333333333334
2022-02-12,0.0528,0.087,0.1105,0.2331
2022-02-17,0.052000000000000005,0.08625,0.1095,0.23135
2022-02-22,0.0512,0.0855,0.1085,0.2296
2022-02-27,0.0591,0.0835,0.1099,0.2327
2022-03-04,0.057800000000000004,0.08215,0.1086,0.2299
2022-03-09,0.0565,0.0808,0.1073,0.2271
2022-03-14,0.0568,0.08145,0.1052,0.2247
2022-03-19,0.0571,0.0821,0.1031,0.2223
2022-03-24,0.043,0.0728,0.0972,0.2137
2022-03-29,0.0503,0.0737,0.0937,0.2128
2022-04-03,0.0422,0.0666,0.0925,0.2009
2022-04-08,0.052,0.0749,0.0921,0.2073
2022-04-13,0.0422,0.0698,0.0893,0.1968
2022-04-18,0.04175,0.0663,0.08615,0.19515
2022-04-23,0.0413,0.0628,0.083,0.1935
2022-04-28,0.0409,0.0641,0.0797,0.1937
