date,B02,B03,B04,B08
2021-05-03,0.016875,0.06495000000000001,0.03605,0.006999999999999999
2021-05-08,0.01395,0.0634,0.0304,0.004699999999999999
2021-05-18,0.011025,0.06185,0.02475,0.0023999999999999994
2021-05-23,0.0081,0.0603,0.0191,0.0001
2021-05-28,0.0040999999999999995,0.0452,0.01095,0.0001
2021-06-02,0.0001,0.0301,0.0028,0.0001
2021-06-07,0.0054,0.0477,0.0177,0.0001
2021-06-12,0.0135,0.0664,0.0302,0.0002
2021-06-17,0.012133333333333333,0.06306666666666666,0.030333333333333334,0.0001666666666666667
2021-06-22,0.010766666666666667,0.05973333333333333,0.030466666666666666,0.00013333333333333334
2021-07-07,0.0094,0.0564,0.0306,0.0001
2021-07-17,0.0029,0.0474,0.0115,0.0
2021-07-22,0.0203,0.0719,0.0279,0.0002
2021-07-27,0.023,0.0847,0.0502,0.0067
2021-08-01,0.0387,0.0918,0.0763,0.0443
2021-08-06,0.0127,0.0489,0.0138,0.0001
2021-08-11,0.013233333333333333,0.04923333333333333,0.013766666666666667,0.0001
2021-08-16,0.013766666666666667,0.04956666666666667,0.013733333333333334,0.0001
2021-08-21,0.0143,0.0499,0.0137,0.0001
2021-08-26,0.0122,0.0472,0.0079,0.0
2021-08-31,0.0183,0.0579,0.0165,0.0
2021-09-05,0.0227,0.0709,0.0291,0.0002
2021-09-10,0.0329,0.082,0.0489,0.0078
2021-09-15,0.024,0.0478,0.0302,0.0092
2021-09-20,0.0204,0.0543,0.0223,0.0048
2021-09-25,0.0434,0.0927,0.0768,0.0657
2021-09-30,0.0244,0.0482,0.0371,0.0085
2021-10-05,0.0075,0.0196,0.0092,0.0062
2021-10-10,0.0107,0.0313,0.0087,0.004
2021-10-15,0.0107,0.0317,0.010266666666666667,0.007233333333333333
2021-10-20,0.0107,0.032100000000000004,0.011833333333333333,0.010466666666666666
2021-10-25,0.0107,0.0325,0.0134,0.0137
2021-10-30,0.0153,0.026,0.0107,0.0111
2021-11-04,0.020649999999999998,0.0337,0.015799999999999998,0.0148
2021-11-09,0.026,0.0414,0.0209,0.0185
2021-11-14,0.0129,0.0349,0.0098,0.0096
2021-11-19,0.0298,0.0573,0.0281,0.0211
2021-11-24,0.0269,0.0616,0.029,0.0116
2021-11-29,0.032,0.0613,0.0339,0.0249
2021-12-04,0.0356,0.0796,0.0459,0.0254
2021-12-09,0.0344,0.0729,0.0397,0.021
2021-12-14,0.0364,0.0769,0.0432,0.0257
2021-12-19,0.0244,0.0664,0.0288,0.0132
2021-12-24,0.0278,0.0707,0.0408,0.0161
2021-12-29,0.03075,0.0743,0.05055,0.02325
2022-01-03,0.0337,0.0779,0.0603,0.0304
2022-01-08,0.0432,0.0838,0.0656,0.039
2022-01-13,0.0353,0.079,0.0624,0.0341
2022-01-18,0.0367,0.0774,0.0655,0.049
2022-01-23,0.0336,0.0841,0.0694,0.0781
2022-01-28,0.0442,0.0829,0.0683,0.0433
2022-02-02,0.060000000000000005,0.10745,0.1021,0.1258
2022-02-07,0.0758,0.132,0.1359,0.2083
2022-02-12,0.0669,0.1076,0.1185,0.1559
2022-02-17,0.0649,0.1051,0.1111,0.1293
2022-02-22,0.031,0.0697,0.0526,0.03
2022-02-27,0.0422,0.0767,0.062,0.0462
2022-03-04,0.0458,0.0864,0.0737,0.0836
2022-03-09,0.0679,0.1078,0.106,0.157
2022-03-14,0.0183,0.0417,0.022,0.0189
2022-03-19,0.0281,0.0535,0.0315,0.0199
2022-03-24,0.0239,0.0612,0.0331,0.0182
2022-03-29,0.0372,0.072,0.0484,0.028
2022-04-03,0.0358,0.0787,0.0636,0.0537
2022-04-08,0.043,0.0855,0.072,0.0884
2022-04-13,0.0119,0.0299,0.0191,0.0174
2022-04-18,0.0257,0.0455,0.0226,0.0171
2022-04-23,0.0212,0.0564,0.0319,0.0181
2022-04-28,0.0298,0.0617,0.0399,0.0167
