date,B02,B03,B04,B08
2021-05-03,0.0118,0.0556,0.0341,0.4508
2021-05-08,0.0107,0.0587,0.0449,0.4691
2021-05-18,0.005399999999999999,0.0475,0.0473,0.45530000000000004
2021-05-23,0.0001,0.0363,0.0497,0.4415
2021-05-28,0.001,0.02905,0.07055,0.40035
2021-06-02,0.0019,0.0218,0.0914,0.3592
2021-06-07,0.0001,0.0269,0.1041,0.3468
2021-06-12,0.0001,0.027575000000000002,0.10642499999999999,0.32337499999999997
2021-06-17,0.0001,0.02825,0.10875,0.29995
2021-06-22,0.0001,0.028925,0.11107500000000001,0.276525
2021-07-07,0.0001,0.0296,0.1134,0.2531
2021-07-17,0.0029,0.0311,0.1066,0.2495
2021-07-22,0.0114,0.033,0.1029,0.2382
2021-07-27,0.0047,0.0298,0.098,0.2236
2021-08-01,0.016,0.0369,0.1068,0.2277
2021-08-06,0.0434,0.0656,0.1233,0.2275
2021-08-11,0.03265,0.0558,0.1106,0.2207
2021-08-16,0.0219,0.046,0.0979,0.2139
2021-08-21,0.026,0.0491,0.1127,0.2343
2021-08-26,0.022,0.0521,0.1202,0.2519
2021-08-31,0.0312,0.055,0.1178,0.2517
2021-09-05,0.0289,0.0559,0.1191,0.2508
2021-09-10,0.0465,0.0683,0.1285,0.2516
2021-09-15,0.047,0.0699,0.1266,0.2528
2021-09-20,0.0414,0.0625,0.1255,0.2582
2021-09-25,0.04375,0.0654,0.12965,0.25755
2021-09-30,0.0461,0.0683,0.1338,0.2569
2021-10-05,0.0559,0.0771,0.1384,0.261
2021-10-10,0.0486,0.0731,0.133,0.2564
2021-10-15,0.0521,0.0793,0.1399,0.2673
2021-10-20,0.0556,0.08215,0.14375,0.26895
2021-10-25,0.0591,0.085,0.1476,0.2706
2021-10-30,0.0637,0.0889,0.1486,0.2857
2021-11-04,0.0527,0.0842,0.143,0.2844
2021-11-09,0.04965,0.08295,0.13465,0.2948
2021-11-14,0.0466,0.0817,0.1263,0.3052
2021-11-19,0.0496,0.0813,0.1081,0.3228
2021-11-24,0.0346,0.0736,0.0849,0.3497
2021-11-29,0.0288,0.07014999999999999,0.07045,0.3794
2021-12-04,0.023,0.0667,0.056,0.4091
2021-12-09,0.0189,0.067,0.04605,0.44695
2021-12-14,0.0148,0.0673,0.0361,0.4848
2021-12-19,0.0193,0.07145,0.03615,0.4843
2021-12-24,0.0238,0.0756,0.0362,0.4838
2021-12-29,0.01985,0.07355,0.03175,0.5085500000000001
2022-01-03,0.0159,0.0715,0.0273,0.5333
2022-01-08,0.025,0.0764,0.0297,0.5341
2022-01-13,0.0298,0.0793,0.0344,0.512
2022-01-18,0.0217,0.0733,0.0259,0.5498
2022-01-23,0.013,0.0705,0.022,0.5655
2022-01-28,0.0336,0.077,0.0353,0.5338
2022-02-02,0.029066666666666664,0.0753,0.03283333333333333,0.5361333333333334
2022-02-07,0.02453333333333333,0.0736,0.030366666666666667,0.5384666666666666
2022-02-12,0.02,0.0719,0.0279,0.5408
2022-02-17,0.0215,0.07225000000000001,0.030350000000000002,0.5356
2022-02-22,0.023,0.0726,0.0328,0.5304
2022-02-27,0.0325,0.0742,0.035,0.5325
2022-03-04,0.0312,0.07214999999999999,0.0349,0.51865
2022-03-09,0.0299,0.0701,0.0348,0.5048
2022-03-14,0.0317,0.07100000000000001,0.0372,0.5003500000000001
2022-03-19,0.0335,0.0719,0.0396,0.4959
2022-03-24,0.0267,0.0714,0.0394,0.485
2022-03-29,0.0328,0.0752,0.0419,0.4728
2022-04-03,0.0204,0.0656,0.0374,0.4796
2022-04-08,0.0338,0.0743,0.0449,0.474
2022-04-13,0.0284,0.0707,0.0457,0.4507
2022-04-18,0.0284,0.07085,0.0472,0.44265
2022-04-23,0.0284,0.071,0.0487,0.4346
2022-04-28,0.0336,0.0701,0.0521,0.4615
