"","ID","ndvi_Jan","ndvi_Feb","ndvi_Mar","ndvi_Apr","ndvi_May","ndvi_Jun","ndvi_Jul","ndvi_Aug","ndvi_Sep","ndvi_Oct","ndvi_Nov","ndvi_Dec","ndvi_pen","n","specie"
"1",1,0.551442444324493,0.61861115694046,0.653075814247131,0.562729597091675,0.471384197473526,0.423229277133942,0.396438390016556,0.422227054834366,0.462832927703857,0.477703958749771,0.489700198173523,0.489379823207855,0.00518405204638839,42,"olive"
"2",2,0.506143450737,0.565621078014374,0.583019316196442,0.507004201412201,0.432306885719299,0.386863201856613,0.356622189283371,0.378562867641449,0.408980786800385,0.417617738246918,0.422189921140671,0.415763914585114,0.00478949630632997,42,"olive"
"3",3,0.448986887931824,0.499453037977219,0.521793127059937,0.458999067544937,0.391440361738205,0.355858474969864,0.33861318230629,0.367120951414108,0.395419329404831,0.402050614356995,0.412560015916824,0.402318477630615,0.00413195742294192,42,"olive"
"4",4,0.456272691488266,0.519478976726532,0.556744039058685,0.465916007757187,0.393821239471436,0.359144955873489,0.336072742938995,0.346450209617615,0.389269322156906,0.399635791778564,0.411603897809982,0.413826644420624,0.00358267477713525,42,"olive"
"5",5,0.540651619434357,0.602351129055023,0.606155872344971,0.543487787246704,0.460440695285797,0.414133548736572,0.391610652208328,0.409239768981934,0.442493051290512,0.4379603266716,0.427480459213257,0.426098674535751,0.00582544086501002,42,"olive"
"6",6,0.500450134277344,0.596006214618683,0.632668077945709,0.530531585216522,0.443162173032761,0.393181473016739,0.374981343746185,0.407370567321777,0.456754088401794,0.466984689235687,0.470985680818558,0.449583262205124,0.00471468595787883,42,"olive"
"7",7,0.510060787200928,0.575974941253662,0.616721570491791,0.536201775074005,0.443349421024323,0.399101465940475,0.379885613918304,0.414975613355637,0.456109911203384,0.46404555439949,0.46671923995018,0.453977406024933,0.00411802949383855,42,"olive"
"8",8,0.597467243671417,0.686068058013916,0.695931792259216,0.598505854606628,0.48167473077774,0.434332460165024,0.419778794050217,0.445875972509384,0.484169840812683,0.501748442649841,0.507371485233307,0.508420467376709,0.00707056652754545,42,"olive"
"9",9,0.53314197063446,0.591681599617004,0.618542194366455,0.548707067966461,0.455230355262756,0.409797310829163,0.39532458782196,0.437580525875092,0.481179714202881,0.489903599023819,0.483628869056702,0.483207553625107,0.00438118539750576,42,"olive"
"10",10,0.586719334125519,0.664141654968262,0.673537015914917,0.569302618503571,0.479644536972046,0.430038213729858,0.412394434213638,0.43496385216713,0.472741574048996,0.482157051563263,0.460958570241928,0.450604498386383,0.00435180682688951,42,"olive"
"11",11,0.504601120948792,0.576758861541748,0.579420030117035,0.492529809474945,0.399859964847565,0.371166557073593,0.360742509365082,0.369469493627548,0.402464359998703,0.400120198726654,0.392059743404388,0.390794694423676,0.00401358818635345,42,"olive"
"12",12,0.540134251117706,0.611660003662109,0.627568781375885,0.528548121452332,0.446703314781189,0.4147709608078,0.386214762926102,0.392030388116837,0.422485142946243,0.426190286874771,0.417461335659027,0.420836240053177,0.00538810668513179,42,"olive"
"13",13,0.516075611114502,0.56889271736145,0.579661905765533,0.497418910264969,0.439187258481979,0.393551170825958,0.37000983953476,0.383506804704666,0.418799936771393,0.42064106464386,0.427212595939636,0.430137813091278,0.00344657897949219,42,"olive"
"14",14,0.533906280994415,0.605904817581177,0.600924730300903,0.527151226997375,0.466176271438599,0.410571187734604,0.380046963691711,0.392651557922363,0.429349720478058,0.438503324985504,0.449233323335648,0.448137104511261,0.0041892109438777,42,"olive"
"15",15,0.520457804203033,0.600164771080017,0.59036922454834,0.53157114982605,0.439013600349426,0.383107900619507,0.362213343381882,0.364462822675705,0.401074796915054,0.418165385723114,0.424743831157684,0.42707347869873,0.00348365865647793,42,"olive"
"16",16,0.53894966840744,0.606799483299255,0.618090569972992,0.533501923084259,0.450098127126694,0.393383741378784,0.368358343839645,0.368522077798843,0.39037674665451,0.393983423709869,0.403269439935684,0.406500339508057,0.00390624790452421,42,"olive"
"17",17,0.65803587436676,0.76347404718399,0.757586777210236,0.670999526977539,0.55805367231369,0.49308854341507,0.46486359834671,0.481508404016495,0.521525502204895,0.526310384273529,0.525387644767761,0.524016439914703,0.00620390335097909,42,"olive"
"18",18,0.5979984998703,0.663890242576599,0.663973093032837,0.598272800445557,0.492931008338928,0.42473167181015,0.393296778202057,0.401983916759491,0.441996514797211,0.459813356399536,0.470769882202148,0.468021929264069,0.00603622710332274,42,"olive"
"19",19,0.642011702060699,0.755512356758118,0.769515454769135,0.653994679450989,0.548644602298737,0.497202843427658,0.450463712215424,0.451961040496826,0.487647175788879,0.489841967821121,0.487711995840073,0.491618901491165,0.00570233771577477,42,"olive"
"20",20,0.576213479042053,0.649088203907013,0.63093638420105,0.541273236274719,0.463105648756027,0.426428824663162,0.382392466068268,0.379666328430176,0.401553601026535,0.393792480230331,0.403528690338135,0.399734169244766,0.00463166320696473,42,"olive"
"21",21,0.504237592220306,0.58606481552124,0.601040244102478,0.510771751403809,0.428359687328339,0.38817024230957,0.362221628427505,0.370656281709671,0.398277789354324,0.414497405290604,0.42730787396431,0.408797413110733,0.00332825561054051,42,"olive"
"22",22,0.535163342952728,0.61803674697876,0.60218071937561,0.51258111000061,0.436521917581558,0.399278849363327,0.37736377120018,0.389451831579208,0.421897560358047,0.423375010490417,0.432265788316727,0.417696088552475,0.00381541205570102,42,"olive"
