,id,id_test,id_train,specie_test,specie_train,score
122,123,938,940,4,4,0.9655724815792035
123,124,281,280,4,4,0.22135522090252657
124,125,1101,1100,4,4,0.5365131682100256
125,126,1004,1009,4,4,0.5210044863903788
126,127,1492,1097,4,4,1.5162687149498617
127,128,1482,1483,4,4,0.31685670290589535
128,129,1485,1484,4,4,0.4256582274150102
129,130,680,675,4,4,1.3712471851148322
130,131,285,280,4,4,0.44693121306296174
131,132,939,940,4,4,0.8985356638220756
132,133,679,675,4,4,1.4720029957453857
133,134,1412,1414,4,4,0.9446825547001657
134,135,1415,1414,4,4,0.9162571990421318
135,136,1470,1471,4,4,0.4137557338037978
136,137,676,675,4,4,0.6730007747204368
137,138,1493,1495,4,4,1.0917609328062579
138,139,1491,1097,4,4,1.654371805928905
139,140,1004,1009,4,4,0.5210044863903788
140,141,939,940,4,4,0.8985356638220756
141,142,679,675,4,4,1.4720029957453857
142,143,1485,1484,4,4,0.4256582274150102
143,144,680,675,4,4,1.3712471851148322
144,145,939,940,4,4,0.8985356638220756
145,146,1004,1009,4,4,0.5210044863903788
146,147,1470,1471,4,4,0.4137557338037978
147,148,1099,1100,4,4,0.7862918654997686
148,149,676,675,4,4,0.6730007747204368
149,150,1010,1009,4,4,0.35096717221599866
150,151,1273,1271,5,5,0.16553193506869543
151,152,1251,1441,5,5,0.29977762462169066
152,153,1261,1265,5,5,0.19782598812017382
153,154,1253,1254,5,5,0.23117221582339095
154,155,701,702,5,5,0.23027472696669685
155,156,1436,1431,5,5,0.34590593844036716
156,157,1444,1437,5,5,0.20816999564434557
157,158,1557,1540,5,5,0.4739601679772887
158,159,720,721,5,5,0.12323338050108654
159,160,709,702,5,5,0.2820748866472416
160,161,1266,1270,5,5,0.1889146799418065
161,162,1589,1720,5,12,0.5390799736986829
162,163,1552,1536,5,5,0.23181371256757577
163,164,1531,1536,5,5,0.14069422502073942
164,165,711,707,5,5,0.31473272753881354
165,166,699,698,5,5,0.25688804988766767
166,167,718,717,5,5,0.2472697892719367
167,168,1532,1536,5,5,0.21154199057140358
168,169,1430,1431,5,5,0.2838931402144685
169,170,1538,1537,5,5,0.27613072460656757
170,171,703,712,5,5,0.3408941864834091
171,172,1533,1535,5,5,0.19506267587337994
172,173,1555,1556,5,5,0.22079756701700187
173,174,1429,1428,5,5,0.18998963556697476
174,175,1282,1276,5,5,0.17126692612746258
175,176,1529,1528,5,5,0.15816735173342297
176,177,719,702,5,5,0.35116755054351867
177,178,1245,1246,5,5,0.21443152033896057
178,179,693,715,5,5,0.34908756819508335
179,180,1530,1550,5,5,0.2698369849634698
180,181,2323,2320,6,6,0.2677575264544866
181,182,2326,2327,6,6,0.409746742201204
182,183,1170,1171,6,6,0.22121559115956613
183,184,1512,477,6,8,0.30305897421804306
184,185,1573,1574,6,6,0.43892917922248953
185,186,1649,1648,6,6,0.23534399322353505
186,187,2305,2304,6,6,0.2736975986450566
187,188,2200,2198,6,6,0.28853722562850925
188,189,2328,2315,6,6,0.374512321837436
189,190,2309,2307,6,6,0.22952364631084674
190,191,2306,2304,6,6,0.22889632741086444
191,192,1172,1174,6,6,0.22133073276472792
192,193,2189,2194,6,6,0.32118677643947713
193,194,1178,1179,6,6,0.22263241168967587
194,195,2334,2333,6,6,0.26713335095607255
195,196,2190,544,6,7,0.4273328426167873
196,197,1575,1574,6,6,0.2691475068813065
197,198,2201,2204,6,6,0.30457134108652817
198,199,2322,2320,6,6,0.2820862569986229
199,200,1649,1648,6,6,0.23534399322353505
200,201,1172,1174,6,6,0.22133073276472792
201,202,2189,2194,6,6,0.32118677643947713
202,203,2328,2315,6,6,0.374512321837436
203,204,2309,2307,6,6,0.22952364631084674
204,205,1172,1174,6,6,0.22133073276472792
205,206,1649,1648,6,6,0.23534399322353505
206,207,2190,544,6,7,0.4273328426167873
207,208,2323,2320,6,6,0.2677575264544866
208,209,1575,1574,6,6,0.2691475068813065
209,210,2326,2327,6,6,0.409746742201204
210,211,1954,1904,7,7,0.4047271733863449
211,212,1113,577,7,9,0.448596345966886
212,213,1737,1738,7,7,0.13657716863255254
213,214,871,869,7,7,0.20513751966916616
214,215,1111,1117,7,7,0.5445698735032543
215,216,1892,1904,7,7,0.38921891888768234
216,217,541,535,7,7,0.3020025024521672
217,218,817,815,7,7,0.2157601089979949
218,219,865,859,7,7,0.47592108747948314
219,220,1898,1899,7,7,0.24689410723162936
220,221,1572,1574,7,6,0.3579390781540981
221,222,1947,1951,7,7,0.298916059600306
222,223,1568,1567,7,7,0.27219137347395145
223,224,1620,859,7,7,0.36854939120739916
