,id,id_test,id_train,specie_test,specie_train,score,score_sum,score_norm,score_norm_mean
0,1,1322,1305,0,0,0.20596334164692712,1.1525892439285972,0.17869622047217937,0.2
1,2,1327,1319,0,0,0.1385436914165517,0.8571383489601829,0.16163515678025922,0.2
2,3,1597,1601,0,0,0.27834544817285134,1.4860784737890584,0.18730198511196597,0.2
3,4,1598,1596,0,0,0.3052705313604258,1.8143172066594933,0.16825642739865074,0.2
4,5,1130,1137,0,0,0.31907216817550965,1.7560229794416022,0.18170159041823666,0.2
5,6,1302,1324,0,0,0.20494156414383868,1.229268847196301,0.1667182607053506,0.2
6,7,1331,1330,0,0,0.17254963632125697,1.1789798395692768,0.1463550355401289,0.2
7,8,761,768,0,0,0.15078477253134592,0.9298725367101222,0.16215638872916996,0.2
8,9,744,774,0,0,0.17072844440761098,1.0794394306474253,0.15816398730701509,0.19999999999999998
9,10,1306,1308,0,0,0.18380376728210163,1.1307186284304076,0.1625548236852226,0.2
10,11,1128,1126,0,0,0.22664622543899007,1.1946106313019575,0.18972393138003266,0.2
11,12,896,898,0,0,0.4254982807780615,2.7014040587285604,0.15751004719313483,0.2
12,13,1124,1123,0,0,0.253302890887702,1.6215954394640633,0.15620597142985215,0.2
13,14,1329,1316,0,0,0.16488906028608744,1.097275924222006,0.15027128240601614,0.2
14,15,1603,1604,0,0,0.1633325864329337,1.1815623380242364,0.13823442164384847,0.2
15,16,1356,778,0,0,0.41330823951619644,2.2472072020155234,0.18392084145400553,0.2
16,17,1311,1313,0,0,0.2265347146423052,1.260101707981412,0.17977494452030918,0.2
17,18,745,774,0,0,0.2659294112758949,1.49292520318988,0.17812641296944617,0.2
18,19,1315,1316,0,0,0.17844068036646388,0.9894126280621203,0.18035011410351687,0.2
19,20,773,750,0,0,0.12837078257510007,1.039004570721292,0.12355170149634973,0.2
20,21,1348,1330,0,0,0.2177234302286899,1.2341993268469131,0.17640864444880364,0.2
21,22,770,752,0,0,0.1809015881187315,0.9981200030213041,0.18124232313864397,0.2
22,23,899,897,0,0,0.45159383248540885,2.374693345627273,0.1901693257855661,0.19999999999999998
23,24,746,759,0,0,0.21034867713607552,1.6005399654530856,0.13142357059264645,0.2
24,25,1326,1497,0,8,0.3487918051609044,1.7588903340484912,0.1983021899711506,0.1983021899711506
25,26,1355,1303,0,0,0.21357428697991176,1.301926159345164,0.16404485419306286,0.2
26,27,749,766,0,0,0.1947576399698222,1.1088793255700042,0.1756346569719926,0.2
27,28,1342,1332,0,0,0.1592473514621052,1.1152283998969752,0.14279348649730986,0.2
28,29,1309,1313,0,0,0.15072877982802657,0.9591857127330139,0.15714243636777503,0.2
29,30,1307,1308,0,0,0.17651937036569915,1.097951785090545,0.16077151361536526,0.2
30,31,1564,1052,1,1,0.29200104180071934,1.705246397430943,0.17123686186385534,0.2
31,32,1041,1045,1,1,0.2138307236024541,1.2877955843576254,0.1660439950251239,0.2
32,33,2142,1962,1,1,0.4337470004143009,2.608435026644288,0.16628629656622493,0.2
33,34,1690,1704,1,1,0.20030811084052186,1.2231422159735423,0.16376518464051992,0.2
34,35,2139,2135,1,1,0.3725186485479214,2.1152883004123093,0.1761077430794235,0.2
35,36,1044,1181,1,1,0.2951968112481834,1.7351313969287037,0.17012936989711622,0.2
36,37,1053,1052,1,1,0.15555752679004095,1.2103989960015824,0.1285175609893166,0.2
37,38,2134,2137,1,1,0.3462185168249422,2.0144697044387945,0.17186583449831241,0.2
38,39,987,986,1,1,0.3194779880397933,1.999520502176105,0.15977730045383437,0.15977730045383437
39,40,1700,1708,1,1,0.25827758159345093,1.4751888731808156,0.1750810260902731,0.2
40,41,982,981,1,1,0.34584905468926913,2.7808177469576663,0.12436955103139816,0.15951816435812338
41,42,978,1181,1,1,0.33252150142806414,1.9192321205260574,0.17325757414737344,0.2
42,43,1685,1687,1,1,0.15576693479225784,1.376869393715742,0.11313123488923765,0.2
43,44,979,977,1,1,0.24146696813881957,1.6247585623500056,0.14861713840705568,0.2
44,45,1055,1058,1,1,0.32875468421675086,1.986915602731957,0.16545981307143684,0.2
45,46,1625,1624,1,1,0.25518714532228565,1.5985510406469698,0.15963653260580632,0.19999999999999998
46,47,2138,2135,1,1,0.2668528113423162,1.8447069616394287,0.14465864600259257,0.2
47,48,1639,1640,1,1,0.24839770686198992,1.4366441321402512,0.17290134787376857,0.2
48,49,1054,1050,1,1,0.1793080168938344,1.2165048102108411,0.1473960607379409,0.2
49,50,1566,1565,1,1,0.348342917941229,2.050166998726794,0.16990953330024278,0.2
50,51,1051,1058,1,1,0.23160195571553965,1.5059932358473371,0.1537868499025697,0.2
51,52,1703,1046,1,1,0.3108476050790664,1.627070887969139,0.19104736454786986,0.2
52,53,1699,1708,1,1,0.2604487306295501,1.625282687088289,0.16024826493177424,0.2
53,54,1963,1052,1,1,0.29051342333737884,1.576669935752468,0.18425760316075976,0.2
54,55,1033,977,1,1,0.386352489869214,2.066879639217972,0.1869254902599916,0.2
55,56,1044,1181,1,1,0.2951968112481834,1.7351313969287037,0.17012936989711622,0.2
56,57,978,1181,1,1,0.33252150142806414,1.9192321205260574,0.17325757414737344,0.2
57,58,1685,1687,1,1,0.15576693479225784,1.376869393715742,0.11313123488923765,0.2
58,59,987,986,1,1,0.3194779880397933,1.999520502176105,0.15977730045383437,0.15977730045383437
59,60,1700,1708,1,1,0.25827758159345093,1.4751888731808156,0.1750810260902731,0.2
60,61,1984,1849,2,13,0.6998100321868792,3.827384654027523,0.18284287978488792,0.199250343365148
61,62,1985,1987,2,2,0.37444764238135075,3.113955502308908,0.1202482315831773,0.1202482315831773
62,63,2409,2401,2,2,0.18871101716601968,1.3577458753367375,0.138988466541441,0.2
63,64,2438,1020,2,2,0.2528526886005667,1.3593212690131038,0.1860139279540172,0.2
64,65,1976,1977,2,2,0.2299910067476313,2.087388175222077,0.11018123484538882,0.2
65,66,2219,1028,2,2,0.20873258041642828,1.123754475303975,0.18574571670556972,0.2
66,67,2437,2449,2,2,0.19675557037097985,1.105265792201937,0.17801652033308538,0.2
67,68,2404,2220,2,2,0.17749914790545274,1.2672904461091727,0.14006193169877476,0.2
68,69,2086,1022,2,2,0.216790426605998,1.645235144453748,0.13176865771243715,0.2
69,70,1978,2090,2,2,0.3316719107061966,1.8084810207620357,0.183398059973248,0.2
70,71,1975,2091,2,2,0.398549386290658,2.3401864524852645,0.1703066804217249,0.2
71,72,2415,2417,2,2,0.2007553195087481,1.2749098286928546,0.1574662889802798,0.2
72,73,2218,2411,2,2,0.1858879778113157,1.222671854255049,0.15203423319544207,0.19999999999999998
73,74,2225,2414,2,2,0.20837597895566184,1.5451569102584743,0.13485748765852176,0.2
74,75,1026,1024,2,2,0.16843794803626733,1.1067706930363634,0.1521886593998683,0.2
75,76,2407,2408,2,2,0.21334677498587185,1.3731273778567339,0.1553728943332827,0.2
76,77,2223,2403,2,2,0.14224171558570875,1.1153883132128781,0.1275266325643858,0.19999999999999998
77,78,1032,2431,2,2,0.285203271370465,1.5244252591775371,0.18708904857975048,0.2
78,79,2213,2421,2,2,0.1661801991055954,1.0981343691739909,0.15132956746504073,0.19999999999999998
79,80,2215,2419,2,2,0.22809716567654717,1.2708038472470227,0.1794904588703287,0.2
80,81,1030,1020,2,2,0.26972236108379644,1.4828206280766059,0.1818981716174655,0.2
81,82,2216,2403,2,2,0.1991104539488141,1.1330478019060508,0.17572996798004803,0.19999999999999998
82,83,2219,1028,2,2,0.20873258041642828,1.123754475303975,0.18574571670556972,0.2
83,84,2415,2417,2,2,0.2007553195087481,1.2749098286928546,0.1574662889802798,0.2
84,85,2218,2411,2,2,0.1858879778113157,1.222671854255049,0.15203423319544207,0.19999999999999998
85,86,2086,1022,2,2,0.216790426605998,1.645235144453748,0.13176865771243715,0.2
86,87,1978,2090,2,2,0.3316719107061966,1.8084810207620357,0.183398059973248,0.2
87,88,2415,2417,2,2,0.2007553195087481,1.2749098286928546,0.1574662889802798,0.2
88,89,2219,1028,2,2,0.20873258041642828,1.123754475303975,0.18574571670556972,0.2
89,90,2407,2408,2,2,0.21334677498587185,1.3731273778567339,0.1553728943332827,0.2
90,91,2591,2585,3,3,0.343122499220672,2.133024545336543,0.16086195537263967,0.2
91,92,2543,2452,3,3,0.9131451852267011,6.244250674973569,0.14623775257558286,0.2
92,93,2477,2463,3,3,0.35735478695850115,2.372264618608459,0.15063866996765354,0.19999999999999998
93,94,2576,2567,3,3,0.2107068652424976,1.3869914060744637,0.15191648940266422,0.2
94,95,2588,2528,3,3,0.315508435719501,1.8138793224094454,0.17394124946548212,0.2
95,96,2547,2546,3,3,0.4077555944204837,2.5992027091604575,0.1568771812153846,0.19999999999999998
96,97,2532,2538,3,3,0.530367672247145,3.0791517240114277,0.17224473484411404,0.2
97,98,2587,2528,3,3,0.3063442177091231,2.142852253136778,0.14296096114918155,0.2
98,99,2566,2529,3,3,0.3217146426870358,1.9216695493207046,0.16741413361145233,0.2
99,100,2537,2551,3,3,0.45879566263973504,2.7930558173706466,0.1642629766961265,0.19999999999999998
100,101,2502,2562,3,3,0.9074834544834738,4.99326068731982,0.1817416536629042,0.2
101,102,2516,2515,3,3,0.25032995836136485,1.599698932786437,0.15648566941613656,0.2
102,103,2603,2604,3,3,0.44389586368431094,3.6697833830638125,0.12095969089971549,0.2
103,104,2611,2612,3,3,0.27267401143074865,2.5721157440017364,0.10601156346351596,0.2
104,105,2559,2519,3,3,0.32015276736359544,2.1541848778144463,0.14861898375612506,0.2
105,106,2507,2498,3,3,0.5432905491955047,3.8481632677928155,0.1411817824213885,0.2
106,107,2595,2598,3,3,0.37951666831496833,2.75601438135475,0.1377048940246867,0.2
107,108,2540,2539,3,3,0.8002212324691818,7.757964608807175,0.10314834790052228,0.2
108,109,2483,2487,3,3,0.32590130777921,2.1201917517266384,0.15371312878365978,0.2
109,110,2462,2463,3,3,0.4670064342709158,2.7631895254143783,0.16900991769678983,0.2
110,111,2580,2590,3,3,0.29662751434548684,1.921104205812361,0.15440469780245702,0.2
111,112,2545,2601,3,3,0.44156705823154,2.4689445010243576,0.17884851524541567,0.20000000000000004
112,113,2573,2519,3,3,0.5448377271372804,3.172761963359287,0.1717234804972296,0.2
113,114,2522,2479,3,3,0.6161567414298013,3.428494582577686,0.17971641097549843,0.2
114,115,2464,2492,3,3,0.36469751354194413,2.038359432759408,0.17891717607833207,0.2
115,116,2484,2606,3,3,0.4501441982956219,2.741930704354434,0.16417052319402245,0.2
116,117,2616,2601,3,3,0.4157200944347764,2.290287156715288,0.1815143979722608,0.2
117,118,2517,2529,3,3,0.3402184302002641,1.8905444702168785,0.17995790924782376,0.2
118,119,2503,2575,3,3,0.329402445349525,1.8592734270333353,0.17716729586950586,0.2
119,120,2615,2509,3,3,0.40561234540506996,2.306713013280128,0.1758399692852525,0.2
120,121,1099,1100,4,4,0.7862918654997686,5.948597651061492,0.13218104696649965,0.18844076727637038
121,122,1010,1009,4,4,0.35096717221599866,2.8128949164528567,0.12477080823857387,0.2
122,123,938,940,4,4,0.9655724815792035,5.840524028638995,0.16532291911556588,0.16532291911556588
123,124,281,280,4,4,0.22135522090252657,2.2421216791665373,0.09872578413532437,0.2
124,125,1101,1100,4,4,0.5365131682100256,5.179122412136113,0.10359152101769735,0.2
125,126,1004,1009,4,4,0.5210044863903788,2.897060654253977,0.17983899840873122,0.2
126,127,1492,1562,4,1,1.564963740167791,7.977684636714659,0.19616766160015428,0.19616766160015428
127,128,1482,1483,4,4,0.31685670290589535,5.657839726739995,0.05600312455094337,0.1295108782152907
128,129,1485,1484,4,4,0.4256582274150102,5.7592701219297835,0.07390836310910576,0.14232414381973033
129,130,680,675,4,4,1.3712471851148322,7.680052198265396,0.17854659704325185,0.195719248852272
130,131,285,280,4,4,0.44693121306296174,3.152833419282941,0.14175541604243994,0.2
131,132,939,940,4,4,0.8985356638220756,6.295558099534431,0.1427253389796409,0.1427253389796409
132,133,679,675,4,4,1.4720029957453857,7.729780002910726,0.19043271544482357,0.19537124728242283
133,134,1412,1414,4,4,0.9446825547001657,6.139389641183042,0.15387238958792135,0.1855092971380548
134,135,1415,1414,4,4,0.9162571990421318,7.261049285760402,0.12618798784894603,0.2
135,136,1470,1471,4,4,0.4137557338037978,4.765427679823298,0.086824470247577,0.2
136,137,676,675,4,4,0.6730007747204368,7.52933461336651,0.08938383127848867,0.19123171225331548
137,138,1493,1495,4,4,1.0917609328062579,7.003266346116263,0.15589310456708613,0.15589310456708613
