,id,specie_test,specie_train
0,1,0,0
1,2,0,0
2,3,0,0
3,4,0,0
4,5,0,0
5,6,0,0
6,7,0,0
7,8,0,0
8,9,0,0
9,10,0,0
10,11,0,0
11,12,0,0
12,13,0,0
13,14,0,0
14,15,0,0
15,16,0,0
16,17,0,0
17,18,0,0
18,19,0,0
19,20,0,0
20,21,0,0
21,22,0,0
22,23,0,0
23,24,0,0
24,25,0,0
25,26,0,0
26,27,0,0
27,28,0,0
28,29,0,0
29,30,0,0
30,31,1,1
31,32,1,1
32,33,1,1
33,34,1,1
34,35,1,1
35,36,1,1
36,37,1,1
37,38,1,1
38,39,1,7
39,40,1,1
40,41,1,1
41,41,1,7
42,42,1,1
43,43,1,1
44,44,1,1
45,45,1,1
46,46,1,1
47,47,1,1
48,48,1,1
49,49,1,1
50,50,1,1
51,51,1,1
52,52,1,1
53,53,1,1
54,54,1,1
55,55,1,1
56,56,1,1
57,57,1,1
58,58,1,1
59,59,1,7
60,60,1,1
61,61,2,13
62,62,2,3
63,63,2,2
64,64,2,2
65,65,2,2
66,66,2,2
67,67,2,2
68,68,2,2
69,69,2,2
70,70,2,2
71,71,2,2
72,72,2,2
73,73,2,2
74,74,2,2
75,75,2,2
76,76,2,2
77,77,2,2
78,78,2,2
79,79,2,2
80,80,2,2
81,81,2,2
82,82,2,2
83,83,2,2
84,84,2,2
85,85,2,2
86,86,2,2
87,87,2,2
88,88,2,2
89,89,2,2
90,90,2,2
91,91,3,3
92,92,3,3
93,93,3,3
94,94,3,3
95,95,3,3
96,96,3,3
97,97,3,3
98,98,3,3
99,99,3,3
100,100,3,3
101,101,3,3
102,102,3,3
103,103,3,3
104,104,3,3
105,105,3,3
106,106,3,3
107,107,3,3
108,108,3,3
109,109,3,3
110,110,3,3
111,111,3,3
112,112,3,3
113,113,3,3
114,114,3,3
115,115,3,3
116,116,3,3
117,117,3,3
118,118,3,3
119,119,3,3
120,120,3,3
121,121,4,4
122,122,4,4
123,123,4,0
124,123,4,4
125,123,4,6
126,123,4,9
127,123,4,10
128,124,4,4
129,125,4,4
130,126,4,4
131,127,4,4
132,127,4,7
133,128,4,4
134,129,4,4
135,130,4,4
136,131,4,4
137,132,4,6
138,133,4,4
139,133,4,6
140,134,4,4
141,135,4,4
142,136,4,4
143,137,4,4
144,138,4,6
145,139,4,4
146,139,4,7
147,140,4,4
148,141,4,6
149,142,4,4
150,142,4,6
151,143,4,4
152,144,4,4
153,145,4,6
154,146,4,4
155,147,4,4
156,148,4,4
157,149,4,4
158,150,4,4
159,151,5,5
